parameter_list,loss_result,mi_f1_result,ma_f1_result,mi_auc_result,ma_auc_result
"[1, 0.01, 2500]",2.654996872,0.196924603,0.147651336,0.801522682,0.910429224
"[1, 0.01, 5000]",2.056165218,0.444444444,0.42676526,0.910651168,0.947314822
"[1, 0.01, 7500]",1.561620951,0.588789683,0.588216679,0.959352287,0.96357783
"[1, 0.01, 10000]",1.24087882,0.666666667,0.679176188,0.974804879,0.972241642
"[1, 0.01, 12500]",1.073943496,0.703869048,0.718539931,0.979539519,0.975668843
"[1, 0.02, 2500]",2.05136323,0.445436508,0.433843412,0.910572154,0.947088623
"[1, 0.02, 5000]",1.252427459,0.662202381,0.67242203,0.974252878,0.971793652
"[1, 0.02, 7500]",0.947414815,0.734623016,0.752702362,0.982991656,0.97902819
"[1, 0.02, 10000]",0.813262582,0.756448413,0.774574528,0.985875527,0.981978247
"[1, 0.02, 12500]",0.74213022,0.773313492,0.791964787,0.987246633,0.983597473
"[1, 0.03, 2500]",1.564683199,0.578373016,0.573040561,0.959236619,0.963575679
"[1, 0.03, 5000]",0.956758916,0.73015873,0.746164397,0.982754758,0.978708287
"[1, 0.03, 7500]",0.772858381,0.770833333,0.788911974,0.986792455,0.983226727
"[1, 0.03, 10000]",0.697860777,0.77827381,0.799016795,0.988175294,0.984710294
"[1, 0.03, 12500]",0.664536536,0.782242063,0.804578127,0.988792731,0.985452189
"[1, 0.04, 2500]",1.260416508,0.669146825,0.681507339,0.974240783,0.972071922
"[1, 0.04, 5000]",0.817640662,0.759424603,0.776325386,0.98576792,0.981961676
"[1, 0.04, 7500]",0.696616828,0.774801587,0.795868505,0.988180021,0.984704844
"[1, 0.04, 10000]",0.659117937,0.783730159,0.804806609,0.988861728,0.985533393
"[1, 0.04, 12500]",0.635540545,0.786210317,0.808657274,0.98940267,0.986121361
"[1, 0.05, 2500]",1.081404924,0.701884921,0.718738312,0.979338291,0.975509021
"[1, 0.05, 5000]",0.740254998,0.771825397,0.790403797,0.987354687,0.983753948
"[1, 0.05, 7500]",0.664319098,0.783234127,0.803970626,0.988797445,0.98545348
"[1, 0.05, 10000]",0.633030534,0.786706349,0.808237159,0.989483865,0.986206675
"[1, 0.05, 12500]",0.615653634,0.788690476,0.810836829,0.989923073,0.986667386
"[2, 0.01, 2500]",2.860067368,0.113095238,0.010160428,0.691407849,0.853251458
"[2, 0.01, 5000]",2.096027136,0.302579365,0.255778873,0.893603463,0.916637515
"[2, 0.01, 7500]",1.377677441,0.594742063,0.589677359,0.957698654,0.954641335
"[2, 0.01, 10000]",1.063219666,0.665178571,0.670745168,0.974084115,0.967440961
"[2, 0.01, 12500]",0.903109848,0.711805556,0.721949457,0.980423775,0.974713197
"[2, 0.02, 2500]",2.20684886,0.273313492,0.226876619,0.871167668,0.906547457
"[2, 0.02, 5000]",1.018073082,0.670138889,0.677298705,0.975740999,0.969154088
"[2, 0.02, 7500]",0.808551967,0.735119048,0.750053247,0.983682098,0.978987766
"[2, 0.02, 10000]",0.737691164,0.764880952,0.781860659,0.985830513,0.981709926
"[2, 0.02, 12500]",0.674318671,0.777281746,0.796714206,0.987980735,0.98396978
"[2, 0.03, 2500]",1.513512731,0.520337302,0.500840819,0.948106719,0.946232975
"[2, 0.03, 5000]",0.818487346,0.738095238,0.752505258,0.983101782,0.978324701
"[2, 0.03, 7500]",0.691703856,0.776289683,0.79325155,0.987508674,0.983871936
"[2, 0.03, 10000]",0.646570444,0.78968254,0.80928617,0.988821881,0.985242537
"[2, 0.03, 12500]",0.620439291,0.786706349,0.807285524,0.989632413,0.986158082
"[2, 0.04, 2500]",1.095270395,0.647321429,0.647282547,0.972358662,0.966194192
"[2, 0.04, 5000]",0.726502478,0.762896825,0.779002456,0.986289275,0.982214061
"[2, 0.04, 7500]",0.639577985,0.784722222,0.80613113,0.989105917,0.985552689
"[2, 0.04, 10000]",0.625600934,0.787202381,0.806955833,0.989394382,0.985913128
"[2, 0.04, 12500]",0.603714585,0.790674603,0.813111089,0.990090411,0.986711091
"[2, 0.05, 2500]",0.903465211,0.708829365,0.718405217,0.980424759,0.974793768
"[2, 0.05, 5000]",0.675845206,0.778769841,0.797506085,0.987972266,0.984066763
"[2, 0.05, 7500]",0.62160176,0.791170635,0.810812207,0.989587322,0.986153057
"[2, 0.05, 10000]",0.594931841,0.797619048,0.81698285,0.990354524,0.987194641
"[2, 0.05, 12500]",0.586310625,0.793650794,0.815787423,0.990614751,0.987430853
"[3, 0.01, 2500]",2.907501936,0.113095238,0.010160428,0.640317363,0.823064602
"[3, 0.01, 5000]",2.829302788,0.113095238,0.010160428,0.689558148,0.795734929
"[3, 0.01, 7500]",1.950625658,0.30109127,0.228968628,0.8877957,0.876721375
"[3, 0.01, 10000]",1.342712045,0.509920635,0.499729083,0.952960737,0.946725421
"[3, 0.01, 12500]",1.1932019,0.569444444,0.581212634,0.96289416,0.955526789
"[3, 0.02, 2500]",2.523432016,0.147321429,0.029178811,0.792952686,0.832376147
"[3, 0.02, 5000]",1.290010214,0.536706349,0.530324144,0.956652343,0.950116472
"[3, 0.02, 7500]",1.073155046,0.631944444,0.636886939,0.970391182,0.962865201
"[3, 0.02, 10000]",0.8673594,0.70734127,0.71899269,0.980418673,0.974242897
"[3, 0.02, 12500]",0.752417386,0.736607143,0.754340553,0.985094741,0.980203221
"[3, 0.03, 2500]",1.724297643,0.366071429,0.328422694,0.923166283,0.915864944
"[3, 0.03, 5000]",0.888131738,0.690972222,0.703518445,0.979728885,0.972611371
"[3, 0.03, 7500]",0.809075356,0.727678571,0.744564619,0.982878811,0.97756419
"[3, 0.03, 10000]",0.718310237,0.755456349,0.771665632,0.986313181,0.98207379
"[3, 0.03, 12500]",0.642025054,0.786706349,0.805247631,0.988885569,0.985319678
"[3, 0.04, 2500]",1.233178496,0.572916667,0.577220071,0.96031228,0.953303945
"[3, 0.04, 5000]",0.838099718,0.709821429,0.727416298,0.981757469,0.976209953
"[3, 0.04, 7500]",0.718801618,0.753968254,0.773113038,0.986197759,0.981635163
"[3, 0.04, 10000]",0.64513278,0.787202381,0.807577601,0.9887116,0.985227947
"[3, 0.04, 12500]",0.625126362,0.788690476,0.808671974,0.989281355,0.985763221
"[3, 0.05, 2500]",1.186933637,0.569940476,0.560020384,0.962903238,0.954877086
"[3, 0.05, 5000]",0.770943224,0.746527778,0.765487637,0.984394761,0.97963046
"[3, 0.05, 7500]",0.683273315,0.767361111,0.788616978,0.987526266,0.983539454
"[3, 0.05, 10000]",0.618762076,0.78422619,0.804097997,0.989560671,0.986378008
"[3, 0.05, 12500]",0.619185209,0.784722222,0.807551158,0.989552493,0.986664981
"[4, 0.01, 2500]",2.915614128,0.113095238,0.010160428,0.628807967,0.73823351
"[4, 0.01, 5000]",2.910519361,0.113095238,0.010160428,0.634968925,0.804051633
"[4, 0.01, 7500]",2.827911377,0.113095238,0.010160428,0.674392383,0.764385253
"[4, 0.01, 10000]",2.161432028,0.202876984,0.069046531,0.860897231,0.862606076
"[4, 0.01, 12500]",1.358461499,0.49702381,0.485737544,0.951499015,0.944196485
"[4, 0.02, 2500]",2.88021946,0.113095238,0.010160428,0.654330739,0.757227543
"[4, 0.02, 5000]",1.912804961,0.3125,0.227711394,0.892317975,0.875984222
"[4, 0.02, 7500]",1.374055028,0.460813492,0.457188893,0.949115151,0.941167629
"[4, 0.02, 10000]",1.039702892,0.638392857,0.644839319,0.971812145,0.96458192
"[4, 0.02, 12500]",1.045631289,0.626984127,0.638589056,0.971162392,0.963277607
"[4, 0.03, 2500]",2.247905254,0.177579365,0.059706375,0.841679705,0.859521738
"[4, 0.03, 5000]",1.355269074,0.511904762,0.499871984,0.952156091,0.946356802
"[4, 0.03, 7500]",1.080706716,0.611607143,0.622761926,0.969445654,0.961960068
"[4, 0.03, 10000]",0.871541202,0.700892857,0.71458813,0.980118365,0.973997304
"[4, 0.03, 12500]",0.729138076,0.755952381,0.775085232,0.98577018,0.981956042
"[4, 0.04, 2500]",2.220397711,0.199900794,0.105829351,0.841614457,0.828386749
"[4, 0.04, 5000]",1.155919313,0.547123016,0.553605693,0.964549257,0.956510249
"[4, 0.04, 7500]",0.823880792,0.719246032,0.73768439,0.982168899,0.977093179
"[4, 0.04, 10000]",0.73833257,0.75,0.769603024,0.985430647,0.980828261
"[4, 0.04, 12500]",0.735640705,0.757440476,0.77909294,0.98528693,0.982573471
"[4, 0.05, 2500]",1.999829054,0.266865079,0.152188954,0.880875038,0.866618051
"[4, 0.05, 5000]",0.904205859,0.680555556,0.700676627,0.978512724,0.972967883
"[4, 0.05, 7500]",0.849877954,0.700396825,0.721755766,0.980719952,0.975520858
"[4, 0.05, 10000]",0.706439495,0.765873016,0.786088928,0.986563955,0.983626593
"[4, 0.05, 12500]",0.722565889,0.772321429,0.791425278,0.986535336,0.983299555
,,,,,
"[2, 0.05, 10000]",0.602362037,0.795634921,0.815691719,0.990153037,0.98690821
"[2, 0.05, 12500]",0.587231755,0.790674603,0.809425146,0.990624308,0.987468715
"[2, 0.05, 15000]",0.58512491,0.798611111,0.817980963,0.990648887,0.987538611
"[2, 0.05, 20000]",0.569691479,0.797619048,0.818773378,0.991113004,0.988113385
"[2, 0.1, 10000]",0.578673542,0.793650794,0.815758139,0.990801942,0.98800948
"[2, 0.1, 12500]",0.562845945,0.801587302,0.821893608,0.99133839,0.988694033
"[2, 0.1, 15000]",0.5613783,0.807043651,0.829149188,0.991360755,0.988771009
"[2, 0.1, 20000]",0.579777539,0.80952381,0.827293596,0.991130389,0.989148188
"[2, 0.15, 10000]",0.562931418,0.804563492,0.827026203,0.991480476,0.989056903
"[2, 0.15, 12500]",0.579032123,0.807539683,0.82994178,0.991185569,0.988887535
"[2, 0.15, 15000]",0.598607242,0.806547619,0.828417926,0.991049077,0.989002848
"[2, 0.15, 20000]",0.663351476,0.796626984,0.822124679,0.990706203,0.98843161
"[2, 0.2, 10000]",0.580868304,0.798115079,0.817841815,0.991231593,0.989067726
"[2, 0.2, 12500]",0.643992782,0.795634921,0.816326276,0.990421501,0.988695769
"[2, 0.2, 15000]",0.713059604,0.785218254,0.808090694,0.989613358,0.987432808
"[2, 0.2, 20000]",0.836203992,0.794642857,0.819959639,0.989926978,0.987026553
"[2, 0.3, 10000]",0.76851517,0.782242063,0.808456523,0.988698443,0.986696198
"[2, 0.3, 12500]",0.82578826,0.794642857,0.82173402,0.989631967,0.986655213
"[2, 0.3, 15000]",0.952297449,0.78422619,0.809350076,0.989524573,0.98647069
"[2, 0.3, 20000]",1.193615913,0.793650794,0.820077129,0.988994872,0.98579252
,,,,,
"[1, 0.15, 12500]",0.566672802,0.800099206,0.823925931,0.991220287,0.988074819
"[2, 0.15, 12500]",0.576061904,0.813492063,0.832145358,0.991184597,0.988785291
"[3, 0.15, 12500]",0.775835752,0.796130952,0.820224456,0.989392051,0.98635494
"[4, 0.15, 12500]",1.149132371,0.785218254,0.810833012,0.985562613,0.982620041
,,,,,
"[2, 0.15, 2500]",0.62799716,0.798115079,0.8189107,0.989316294,0.985963994
"[2, 0.15, 5000]",0.579355478,0.797619048,0.818194076,0.990782634,0.987850707
"[2, 0.15, 7500]",0.571416259,0.800099206,0.820078481,0.991040452,0.988392815
