parameter_list,loss_result,mi_f1_result,ma_f1_result,mi_auc_result,ma_auc_result
"[2, 0.05, 10000]",0.952498794,0.687022901,0.635250339,0.975067528,0.965293376
"[2, 0.05, 12500]",0.927386999,0.692111959,0.648206232,0.976547454,0.967607241
"[2, 0.05, 15000]",0.925591469,0.68956743,0.643183971,0.976902158,0.967842365
"[2, 0.05, 20000]",0.939350128,0.704834606,0.667531302,0.976761704,0.967619109
"[2, 0.1, 10000]",0.961037695,0.688719254,0.644278922,0.975700225,0.966921885
"[2, 0.1, 12500]",0.986538947,0.702290076,0.655935998,0.975435673,0.966193218
"[2, 0.1, 15000]",1.059675694,0.678541137,0.645141475,0.973779759,0.965850756
"[2, 0.1, 20000]",1.253661156,0.658184902,0.618635458,0.97049254,0.962736871
"[2, 0.15, 10000]",1.077048898,0.681933842,0.633506795,0.9729217,0.965224027
"[2, 0.15, 12500]",1.167825818,0.670059372,0.632324982,0.971974057,0.963305382
"[2, 0.15, 15000]",4.730861187,0.372349449,0.427476186,0.840761001,0.927373807
"[2, 0.15, 20000]",1.923142672,0.647158609,0.603980609,0.96644957,0.956074905
"[2, 0.2, 10000]",1.259013295,0.660729432,0.616731885,0.969469075,0.960502117
"[2, 0.2, 12500]",1.630932331,0.649703138,0.602273888,0.964776957,0.955758521
"[2, 0.2, 15000]",1.845511198,0.654792197,0.606662629,0.967314841,0.957296504
"[2, 0.2, 20000]",2.288393259,0.670059372,0.617086651,0.967597245,0.956622904
"[2, 0.3, 10000]",1.815214157,0.657336726,0.611538608,0.9669647,0.95683798
"[2, 0.3, 12500]",2.258610249,0.653095844,0.603869763,0.966604166,0.956274689
"[2, 0.3, 15000]",2.577158213,0.659033079,0.604861965,0.963922704,0.953869741
"[2, 0.3, 20000]",2.824182272,0.670059372,0.617831359,0.96505866,0.953715247
