parameter_list,loss_result,mi_f1_result,ma_f1_result,mi_auc_result,ma_auc_result
"[1, 0.01, 2500]",2.371289968,0.273960984,0.042785714,0.811332676,0.807596306
"[1, 0.01, 5000]",1.964095592,0.406276506,0.184131928,0.896368562,0.897995494
"[1, 0.01, 7500]",1.687377572,0.513994911,0.310437173,0.931602207,0.921964397
"[1, 0.01, 10000]",1.503493905,0.579304495,0.434819624,0.945793685,0.930854272
"[1, 0.01, 12500]",1.379186988,0.617472434,0.493630313,0.953457336,0.937682207
"[1, 0.02, 2500]",1.967146158,0.399491094,0.169439257,0.895174277,0.897313699
"[1, 0.02, 5000]",1.494404078,0.58524173,0.44319477,0.946246266,0.931367606
"[1, 0.02, 7500]",1.275212526,0.635284139,0.533080341,0.959090624,0.943555939
"[1, 0.02, 10000]",1.17449224,0.647158609,0.548155352,0.963447841,0.948258292
"[1, 0.02, 12500]",1.111332297,0.66581849,0.58171702,0.966374941,0.952612206
"[1, 0.03, 2500]",1.683653593,0.515691264,0.312859277,0.931546472,0.921867125
"[1, 0.03, 5000]",1.268343687,0.637828668,0.535382902,0.95934338,0.943567319
"[1, 0.03, 7500]",1.137333751,0.651399491,0.557057679,0.965113449,0.950613371
"[1, 0.03, 10000]",1.085941792,0.664122137,0.578550186,0.967289454,0.954009911
"[1, 0.03, 12500]",1.059718728,0.66581849,0.591643346,0.96854432,0.955645759
"[1, 0.04, 2500]",1.497549772,0.580152672,0.434648533,0.945970583,0.930822449
"[1, 0.04, 5000]",1.165851116,0.648854962,0.553059381,0.964092312,0.94945597
"[1, 0.04, 7500]",1.084578395,0.663273961,0.58071741,0.967425951,0.953993515
"[1, 0.04, 10000]",1.050009608,0.664970314,0.591185964,0.969099321,0.956479813
"[1, 0.04, 12500]",1.036624432,0.673452078,0.603885249,0.969741673,0.957358957
"[1, 0.05, 2500]",1.366035461,0.617472434,0.498161195,0.954256593,0.938289789
"[1, 0.05, 5000]",1.112363458,0.658184902,0.571317177,0.966221973,0.952457798
"[1, 0.05, 7500]",1.056805849,0.66581849,0.590037235,0.968679455,0.955985428
"[1, 0.05, 10000]",1.036130309,0.675996607,0.609406182,0.969766208,0.957443104
"[1, 0.05, 12500]",1.029487491,0.676844784,0.617550888,0.970097133,0.957666773
"[2, 0.01, 2500]",2.351550817,0.270568278,0.022338936,0.806208386,0.784694061
"[2, 0.01, 5000]",1.866918325,0.374045802,0.108640835,0.897057031,0.869750309
"[2, 0.01, 7500]",1.625797153,0.458015267,0.267728763,0.92816982,0.906718088
"[2, 0.01, 10000]",1.4168998,0.533502969,0.403193083,0.945755519,0.925669264
"[2, 0.01, 12500]",1.318420172,0.569126378,0.463585069,0.953692695,0.935811291
